genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 37.25490196078431},"{'trajectory': 1.9226104261846837, 'white_gazing': 0.12534159309909132}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.11764705882353},"{'trajectory': -0.531852486546398, 'white_gazing': 0.0931527463592122}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 33.790849673202615},"{'trajectory': -1.0590994104490365, 'white_gazing': 0.11421468333233044}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 24.215686274509803},"{'trajectory': -0.5009793250268152, 'white_gazing': 0.10289430740959842}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,15])}",{'brightness': 33.464052287581694},"{'trajectory': 1.5050601822255798, 'white_gazing': 0.11209706501321356}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.11764705882353},"{'trajectory': 0.6716952109503835, 'white_gazing': 0.10317318488576872}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [14,15])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 24.41176470588235},"{'trajectory': -0.7533831108987393, 'white_gazing': 0.10842398678168248}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 20.84967320261438},"{'trajectory': 0.900811626890356, 'white_gazing': 0.10715301103035371}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 19.96732026143791},"{'trajectory': 1.0934458025476534, 'white_gazing': 0.10823592920364297}",0
